experiment,cR,cI,cD,cRA,cIA,cLambda,equilibrium_defenses,equilibrium_attacks,equilibrium_pairs,defender_value
A_defender_costs,0.0,0.0,0.0,0.1,0.1,0.1,dRID,AD,dRID:AD,-0.19602
A_defender_costs,0.0,0.0,0.05,0.1,0.1,0.1,dRID,AD,dRID:AD,-0.24602000000000002
A_defender_costs,0.0,0.0,0.1,0.1,0.1,0.1,dRID,AD,dRID:AD,-0.29602
A_defender_costs,0.0,0.0,0.15,0.1,0.1,0.1,dRID,AD,dRID:AD,-0.34602
A_defender_costs,0.0,0.0,0.2,0.1,0.1,0.1,dRID,AD,dRID:AD,-0.39602000000000004
A_defender_costs,0.0,0.0,0.25,0.1,0.1,0.1,dRI,AD,dRI:AD,-0.43377
A_defender_costs,0.0,0.0,0.3,0.1,0.1,0.1,dRI,AD,dRI:AD,-0.43377
A_defender_costs,0.0,0.0,0.35,0.1,0.1,0.1,dRI,AD,dRI:AD,-0.43377
A_defender_costs,0.0,0.0,0.4,0.1,0.1,0.1,dRI,AD,dRI:AD,-0.43377
A_defender_costs,0.0,0.0,0.45,0.1,0.1,0.1,dRI,AD,dRI:AD,-0.43377
A_defender_costs,0.0,0.0,0.5,0.1,0.1,0.1,dRI,AD,dRI:AD,-0.43377
A_defender_costs,0.0,0.05,0.0,0.1,0.1,0.1,dRID,AD,dRID:AD,-0.24602000000000002
A_defender_costs,0.0,0.05,0.05,0.1,0.1,0.1,dRID,AD,dRID:AD,-0.29602
A_defender_costs,0.0,0.05,0.1,0.1,0.1,0.1,dRID,AD,dRID:AD,-0.34602
A_defender_costs,0.0,0.05,0.15,0.1,0.1,0.1,dRID,AD,dRID:AD,-0.39602000000000004
A_defender_costs,0.0,0.05,0.2,0.1,0.1,0.1,dRID,AD,dRID:AD,-0.44601999999999997
A_defender_costs,0.0,0.05,0.25,0.1,0.1,0.1,dRI,AD,dRI:AD,-0.48377
A_defender_costs,0.0,0.05,0.3,0.1,0.1,0.1,dRI,AD,dRI:AD,-0.48377
A_defender_costs,0.0,0.05,0.35,0.1,0.1,0.1,dRI,AD,dRI:AD,-0.48377
A_defender_costs,0.0,0.05,0.4,0.1,0.1,0.1,dRI,AD,dRI:AD,-0.48377
A_defender_costs,0.0,0.05,0.45,0.1,0.1,0.1,dRI,AD,dRI:AD,-0.48377
A_defender_costs,0.0,0.05,0.5,0.1,0.1,0.1,dRI,AD,dRI:AD,-0.48377
A_defender_costs,0.0,0.1,0.0,0.1,0.1,0.1,dRID,AD,dRID:AD,-0.29602
A_defender_costs,0.0,0.1,0.05,0.1,0.1,0.1,dRID,AD,dRID:AD,-0.34602
A_defender_costs,0.0,0.1,0.1,0.1,0.1,0.1,dRID,AD,dRID:AD,-0.39602000000000004
A_defender_costs,0.0,0.1,0.15,0.1,0.1,0.1,dRID,AD,dRID:AD,-0.44601999999999997
A_defender_costs,0.0,0.1,0.2,0.1,0.1,0.1,dRID,AD,dRID:AD,-0.49602
A_defender_costs,0.0,0.1,0.25,0.1,0.1,0.1,dRI,AD,dRI:AD,-0.53377
A_defender_costs,0.0,0.1,0.3,0.1,0.1,0.1,dRI,AD,dRI:AD,-0.53377
A_defender_costs,0.0,0.1,0.35,0.1,0.1,0.1,dRI,AD,dRI:AD,-0.53377
A_defender_costs,0.0,0.1,0.4,0.1,0.1,0.1,dRI,AD,dRI:AD,-0.53377
A_defender_costs,0.0,0.1,0.45,0.1,0.1,0.1,dRI,AD,dRI:AD,-0.53377
