round,cLambda,equilibrium_pairs,defender_value
1,0.0,dRID:AD,-0.4960236838543782
2,0.02,dRID:AD,-0.4960236838543782
3,0.04,dRID:AD,-0.4960236838543782
4,0.06,dRID:AD,-0.4960236838543782
5,0.08,dRID:AD,-0.4960236838543782
6,0.1,dRID:AD,-0.4960236838543782
7,0.12,dRID:AD,-0.4960236838543782
8,0.14,dRID:AD,-0.4960236838543782
9,0.16,dRID:AD,-0.4960236838543782
10,0.18,dRID:AD,-0.4960236838543782
11,0.2,dRID:A0,-0.30000000000000004
12,0.22,dRID:A0,-0.30000000000000004
13,0.24,dRID:A0,-0.30000000000000004
14,0.26,dRID:A0,-0.30000000000000004
15,0.28,dRID:A0,-0.30000000000000004
16,0.3,dRID:A0,-0.30000000000000004
17,0.28,dRID:A0,-0.30000000000000004
18,0.26,dRID:A0,-0.30000000000000004
19,0.24,dRID:A0,-0.30000000000000004
20,0.22,dRID:A0,-0.30000000000000004
21,0.2,dRID:A0,-0.30000000000000004
22,0.18,dRID:AD,-0.4960236838543782
23,0.16,dRID:AD,-0.4960236838543782
24,0.14,dRID:AD,-0.4960236838543782
25,0.12,dRID:AD,-0.4960236838543782
26,0.1,dRID:AD,-0.4960236838543782
27,0.08,dRID:AD,-0.4960236838543782
28,0.06,dRID:AD,-0.4960236838543782
29,0.04,dRID:AD,-0.4960236838543782
30,0.02,dRID:AD,-0.4960236838543782
31,-0.0,dRID:AD,-0.4960236838543782
