wC,wI,wA,equilibrium_pairs,defender_value
0.0,0.0,1.0,dD:AD,-0.29602368385437816
0.0,0.05,0.95,dD:AD,-0.28622249966165925
0.0,0.1,0.9,dD:AD,-0.27642131546894033
0.0,0.15,0.85,dD:AD,-0.2666201312762214
0.0,0.2,0.8,dD:AR,-0.30000000000000004
0.0,0.25,0.75,d0:AD,-0.3253269914878961
0.0,0.3,0.7,d0:AD,-0.303638525388703
0.0,0.35,0.65,d0:AR,-0.35
0.0,0.4,0.6,d0:AR,-0.4
0.0,0.45,0.55,dRID:AD,-0.407813026119908
0.0,0.5,0.5,dRID:A0,-0.30000000000000004
0.0,0.55,0.45,dRID:A0,-0.30000000000000004
0.0,0.6,0.4,dRID:A0,-0.30000000000000004
0.0,0.65,0.35,dRID:A0,-0.30000000000000004
0.0,0.7,0.3,dRID:A0,-0.30000000000000004
0.0,0.75,0.25,dRID:A0,-0.30000000000000004
0.0,0.8,0.2,dRI:A0,-0.2
0.0,0.85,0.15,dRI:A0,-0.2
0.0,0.9,0.1,dRI:A0,-0.2
0.0,0.95,0.05,dRI:A0,-0.2
0.0,1.0,0.0,dRI:A0,-0.2
0.05,0.0,0.95,dD:AD,-0.28622249966165925
0.05,0.05,0.9,dD:AD,-0.27642131546894033
0.05,0.1,0.85,dD:AD,-0.2666201312762214
0.05,0.15,0.8,dD:AD,-0.2568189470835025
0.05,0.2,0.75,dD:AR,-0.30000000000000004
0.05,0.25,0.7,d0:AD,-0.303638525388703
0.05,0.3,0.65,d0:AR,-0.3
0.05,0.35,0.6,d0:AR,-0.35
0.05,0.4,0.55,d0:AR,-0.4
0.05,0.45,0.5,dRID:A0,-0.30000000000000004
0.05,0.5,0.45,dRID:A0,-0.30000000000000004
0.05,0.55,0.4,dRID:A0,-0.30000000000000004
0.05,0.6,0.35,dRID:A0,-0.30000000000000004
0.05,0.65,0.3,dRID:A0,-0.30000000000000004
0.05,0.7,0.25,dRID:A0,-0.30000000000000004
0.05,0.75,0.2,dRI:A0,-0.2
0.05,0.8,0.15,dRI:A0,-0.2
0.05,0.85,0.1,dRI:A0,-0.2
0.05,0.9,0.05,dRI:A0,-0.2
0.05,0.95,0.0,dRI:A0,-0.2
0.1,0.0,0.9,dD:AD,-0.27642131546894033
0.1,0.05,0.85,dD:AD,-0.2666201312762214
0.1,0.1,0.8,dD:AD,-0.2568189470835025
0.1,0.15,0.75,dD:AR,-0.25
0.1,0.2,0.7,dD:AR,-0.30000000000000004
0.1,0.25,0.65,d0:AD,-0.28195005928950995
0.1,0.3,0.6,d0:AR,-0.3
0.1,0.35,0.55,d0:AR,-0.35
0.1,0.4,0.5,dRID:A0,-0.30000000000000004
0.1,0.45,0.45,dRID:A0,-0.30000000000000004
0.1,0.5,0.4,dRID:A0,-0.30000000000000004
0.1,0.55,0.35,dRID:A0,-0.30000000000000004
0.1,0.6,0.3,dRID:A0,-0.30000000000000004
0.1,0.65,0.25,dRID:A0,-0.30000000000000004
0.1,0.7,0.2,dRI:A0,-0.2
0.1,0.75,0.15,dRI:A0,-0.2
0.1,0.8,0.1,dRI:A0,-0.2
0.1,0.85,0.05,dRI:A0,-0.2
0.1,0.9,0.0,dRI:A0,-0.2
0.15,0.0,0.85,dD:AD,-0.2666201312762214
