experiment,equilibrium_pairs,count
A_defender_costs,d0:AR,370
A_defender_costs,d0:AR|dD:AR,10
A_defender_costs,dRI:AD,456
A_defender_costs,dRID:AD,495
B_attacker_costs,d0:A0,12
B_attacker_costs,d0:AD,100
B_attacker_costs,dD:A0,5
B_attacker_costs,dD:AD,30
B_attacker_costs,dI:A0,228
B_attacker_costs,dI:AI,12
B_attacker_costs,dID:A0,95
B_attacker_costs,dID:AD,180
B_attacker_costs,dID:AI,5
B_attacker_costs,dR:A0,228
B_attacker_costs,dR:AR,12
B_attacker_costs,dRD:A0,95
B_attacker_costs,dRD:AD,180
B_attacker_costs,dRD:AR,5
B_attacker_costs,dRI:A0,4332
B_attacker_costs,dRI:AI,228
B_attacker_costs,dRI:AR,240
B_attacker_costs,dRID:A0,1805
B_attacker_costs,dRID:AD,1274
B_attacker_costs,dRID:AI,95
B_attacker_costs,dRID:AR,100
C_joint_cD_cLambda,dRI:AD,120
C_joint_cD_cLambda,dRID:A0,286
C_joint_cD_cLambda,dRID:AD,140
