experiment,cR,cI,cD,cRA,cIA,cLambda,equilibrium_defenses,equilibrium_attacks,equilibrium_pairs,defender_value
B_attacker_costs,0.1,0.1,0.1,0.0,0.0,0.0,dRID,AD,dRID:AD,-0.49602
B_attacker_costs,0.1,0.1,0.1,0.0,0.0,0.05,dRID,AD,dRID:AD,-0.49602
B_attacker_costs,0.1,0.1,0.1,0.0,0.0,0.1,dRID,AD,dRID:AD,-0.49602
B_attacker_costs,0.1,0.1,0.1,0.0,0.0,0.15,dRID,AD,dRID:AD,-0.49602
B_attacker_costs,0.1,0.1,0.1,0.0,0.0,0.2,dRID,AR,dRID:AR,-0.30000000000000004
B_attacker_costs,0.1,0.1,0.1,0.0,0.0,0.25,dRID,AR,dRID:AR,-0.30000000000000004
B_attacker_costs,0.1,0.1,0.1,0.0,0.0,0.3,dRID,AR,dRID:AR,-0.30000000000000004
B_attacker_costs,0.1,0.1,0.1,0.0,0.0,0.35,dRID,AR,dRID:AR,-0.30000000000000004
B_attacker_costs,0.1,0.1,0.1,0.0,0.0,0.4,dRID,AR,dRID:AR,-0.30000000000000004
B_attacker_costs,0.1,0.1,0.1,0.0,0.0,0.45,dRI,AR,dRI:AR,-0.2
B_attacker_costs,0.1,0.1,0.1,0.0,0.0,0.5,dRI,AR,dRI:AR,-0.2
B_attacker_costs,0.1,0.1,0.1,0.0,0.0,0.55,dRI,AR,dRI:AR,-0.2
B_attacker_costs,0.1,0.1,0.1,0.0,0.0,0.6,dRI,AR,dRI:AR,-0.2
B_attacker_costs,0.1,0.1,0.1,0.0,0.0,0.65,dRI,AR,dRI:AR,-0.2
B_attacker_costs,0.1,0.1,0.1,0.0,0.0,0.7,dRI,AR,dRI:AR,-0.2
B_attacker_costs,0.1,0.1,0.1,0.0,0.0,0.75,dRI,AR,dRI:AR,-0.2
B_attacker_costs,0.1,0.1,0.1,0.0,0.0,0.8,dRI,AR,dRI:AR,-0.2
B_attacker_costs,0.1,0.1,0.1,0.0,0.0,0.85,dRI,AR,dRI:AR,-0.2
B_attacker_costs,0.1,0.1,0.1,0.0,0.0,0.9,dRI,AR,dRI:AR,-0.2
B_attacker_costs,0.1,0.1,0.1,0.0,0.0,0.95,dRI,AR,dRI:AR,-0.2
B_attacker_costs,0.1,0.1,0.1,0.0,0.0,1.0,dRI,AR,dRI:AR,-0.2
B_attacker_costs,0.1,0.1,0.1,0.0,0.05,0.0,dRID,AD,dRID:AD,-0.49602
B_attacker_costs,0.1,0.1,0.1,0.0,0.05,0.05,dRID,AD,dRID:AD,-0.49602
B_attacker_costs,0.1,0.1,0.1,0.0,0.05,0.1,dRID,AD,dRID:AD,-0.49602
B_attacker_costs,0.1,0.1,0.1,0.0,0.05,0.15,dRID,AD,dRID:AD,-0.49602
B_attacker_costs,0.1,0.1,0.1,0.0,0.05,0.2,dRID,AR,dRID:AR,-0.30000000000000004
B_attacker_costs,0.1,0.1,0.1,0.0,0.05,0.25,dRID,AR,dRID:AR,-0.30000000000000004
B_attacker_costs,0.1,0.1,0.1,0.0,0.05,0.3,dRID,AR,dRID:AR,-0.30000000000000004
B_attacker_costs,0.1,0.1,0.1,0.0,0.05,0.35,dRID,AR,dRID:AR,-0.30000000000000004
B_attacker_costs,0.1,0.1,0.1,0.0,0.05,0.4,dRID,AR,dRID:AR,-0.30000000000000004
B_attacker_costs,0.1,0.1,0.1,0.0,0.05,0.45,dRI,AR,dRI:AR,-0.2
B_attacker_costs,0.1,0.1,0.1,0.0,0.05,0.5,dRI,AR,dRI:AR,-0.2
B_attacker_costs,0.1,0.1,0.1,0.0,0.05,0.55,dRI,AR,dRI:AR,-0.2
B_attacker_costs,0.1,0.1,0.1,0.0,0.05,0.6,dRI,AR,dRI:AR,-0.2
B_attacker_costs,0.1,0.1,0.1,0.0,0.05,0.65,dRI,AR,dRI:AR,-0.2
B_attacker_costs,0.1,0.1,0.1,0.0,0.05,0.7,dRI,AR,dRI:AR,-0.2
B_attacker_costs,0.1,0.1,0.1,0.0,0.05,0.75,dRI,AR,dRI:AR,-0.2
B_attacker_costs,0.1,0.1,0.1,0.0,0.05,0.8,dRI,AR,dRI:AR,-0.2
B_attacker_costs,0.1,0.1,0.1,0.0,0.05,0.85,dRI,AR,dRI:AR,-0.2
B_attacker_costs,0.1,0.1,0.1,0.0,0.05,0.9,dRI,AR,dRI:AR,-0.2
B_attacker_costs,0.1,0.1,0.1,0.0,0.05,0.95,dRI,AR,dRI:AR,-0.2
B_attacker_costs,0.1,0.1,0.1,0.0,0.05,1.0,dRI,AR,dRI:AR,-0.2
B_attacker_costs,0.1,0.1,0.1,0.0,0.1,0.0,dRID,AD,dRID:AD,-0.49602
B_attacker_costs,0.1,0.1,0.1,0.0,0.1,0.05,dRID,AD,dRID:AD,-0.49602
B_attacker_costs,0.1,0.1,0.1,0.0,0.1,0.1,dRID,AD,dRID:AD,-0.49602
B_attacker_costs,0.1,0.1,0.1,0.0,0.1,0.15,dRID,AD,dRID:AD,-0.49602
B_attacker_costs,0.1,0.1,0.1,0.0,0.1,0.2,dRID,AR,dRID:AR,-0.30000000000000004
B_attacker_costs,0.1,0.1,0.1,0.0,0.1,0.25,dRID,AR,dRID:AR,-0.30000000000000004
B_attacker_costs,0.1,0.1,0.1,0.0,0.1,0.3,dRID,AR,dRID:AR,-0.30000000000000004
B_attacker_costs,0.1,0.1,0.1,0.0,0.1,0.35,dRID,AR,dRID:AR,-0.30000000000000004
B_attacker_costs,0.1,0.1,0.1,0.0,0.1,0.4,dRID,AR,dRID:AR,-0.30000000000000004
B_attacker_costs,0.1,0.1,0.1,0.0,0.1,0.45,dRI,AR,dRI:AR,-0.2
B_attacker_costs,0.1,0.1,0.1,0.0,0.1,0.5,dRI,AR,dRI:AR,-0.2
B_attacker_costs,0.1,0.1,0.1,0.0,0.1,0.55,dRI,AR,dRI:AR,-0.2
B_attacker_costs,0.1,0.1,0.1,0.0,0.1,0.6,dRI,AR,dRI:AR,-0.2
B_attacker_costs,0.1,0.1,0.1,0.0,0.1,0.65,dRI,AR,dRI:AR,-0.2
B_attacker_costs,0.1,0.1,0.1,0.0,0.1,0.7,dRI,AR,dRI:AR,-0.2
B_attacker_costs,0.1,0.1,0.1,0.0,0.1,0.75,dRI,AR,dRI:AR,-0.2
B_attacker_costs,0.1,0.1,0.1,0.0,0.1,0.8,dRI,AR,dRI:AR,-0.2
B_attacker_costs,0.1,0.1,0.1,0.0,0.1,0.85,dRI,AR,dRI:AR,-0.2
B_attacker_costs,0.1,0.1,0.1,0.0,0.1,0.9,dRI,AR,dRI:AR,-0.2
B_attacker_costs,0.1,0.1,0.1,0.0,0.1,0.95,dRI,AR,dRI:AR,-0.2
B_attacker_costs,0.1,0.1,0.1,0.0,0.1,1.0,dRI,AR,dRI:AR,-0.2
B_attacker_costs,0.1,0.1,0.1,0.0,0.15,0.0,dRID,AD,dRID:AD,-0.49602
B_attacker_costs,0.1,0.1,0.1,0.0,0.15,0.05,dRID,AD,dRID:AD,-0.49602
B_attacker_costs,0.1,0.1,0.1,0.0,0.15,0.1,dRID,AD,dRID:AD,-0.49602
B_attacker_costs,0.1,0.1,0.1,0.0,0.15,0.15,dRID,AD,dRID:AD,-0.49602
B_attacker_costs,0.1,0.1,0.1,0.0,0.15,0.2,dRID,AR,dRID:AR,-0.30000000000000004
B_attacker_costs,0.1,0.1,0.1,0.0,0.15,0.25,dRID,AR,dRID:AR,-0.30000000000000004
B_attacker_costs,0.1,0.1,0.1,0.0,0.15,0.3,dRID,AR,dRID:AR,-0.30000000000000004
B_attacker_costs,0.1,0.1,0.1,0.0,0.15,0.35,dRID,AR,dRID:AR,-0.30000000000000004
B_attacker_costs,0.1,0.1,0.1,0.0,0.15,0.4,dRID,AR,dRID:AR,-0.30000000000000004
