experiment,cR,cI,cD,cRA,cIA,cLambda,equilibrium_defenses,equilibrium_attacks,equilibrium_pairs,defender_value
C_joint_cD_cLambda,0.1,0.1,0.1,0.1,0.1,0.1,dRID,AD,dRID:AD,-0.49602
C_joint_cD_cLambda,0.1,0.1,0.1,0.1,0.1,0.11,dRID,AD,dRID:AD,-0.49602
C_joint_cD_cLambda,0.1,0.1,0.1,0.1,0.1,0.12,dRID,AD,dRID:AD,-0.49602
C_joint_cD_cLambda,0.1,0.1,0.1,0.1,0.1,0.13,dRID,AD,dRID:AD,-0.49602
C_joint_cD_cLambda,0.1,0.1,0.1,0.1,0.1,0.14,dRID,AD,dRID:AD,-0.49602
C_joint_cD_cLambda,0.1,0.1,0.1,0.1,0.1,0.15,dRID,AD,dRID:AD,-0.49602
C_joint_cD_cLambda,0.1,0.1,0.1,0.1,0.1,0.16,dRID,AD,dRID:AD,-0.49602
C_joint_cD_cLambda,0.1,0.1,0.1,0.1,0.1,0.17,dRID,AD,dRID:AD,-0.49602
C_joint_cD_cLambda,0.1,0.1,0.1,0.1,0.1,0.18,dRID,AD,dRID:AD,-0.49602
C_joint_cD_cLambda,0.1,0.1,0.1,0.1,0.1,0.19,dRID,AD,dRID:AD,-0.49602
C_joint_cD_cLambda,0.1,0.1,0.1,0.1,0.1,0.2,dRID,A0,dRID:A0,-0.30000000000000004
C_joint_cD_cLambda,0.1,0.1,0.1,0.1,0.1,0.21,dRID,A0,dRID:A0,-0.30000000000000004
C_joint_cD_cLambda,0.1,0.1,0.1,0.1,0.1,0.22,dRID,A0,dRID:A0,-0.30000000000000004
C_joint_cD_cLambda,0.1,0.1,0.1,0.1,0.1,0.23,dRID,A0,dRID:A0,-0.30000000000000004
C_joint_cD_cLambda,0.1,0.1,0.1,0.1,0.1,0.24,dRID,A0,dRID:A0,-0.30000000000000004
C_joint_cD_cLambda,0.1,0.1,0.1,0.1,0.1,0.25,dRID,A0,dRID:A0,-0.30000000000000004
C_joint_cD_cLambda,0.1,0.1,0.1,0.1,0.1,0.26,dRID,A0,dRID:A0,-0.30000000000000004
C_joint_cD_cLambda,0.1,0.1,0.1,0.1,0.1,0.27,dRID,A0,dRID:A0,-0.30000000000000004
C_joint_cD_cLambda,0.1,0.1,0.1,0.1,0.1,0.28,dRID,A0,dRID:A0,-0.30000000000000004
C_joint_cD_cLambda,0.1,0.1,0.1,0.1,0.1,0.29,dRID,A0,dRID:A0,-0.30000000000000004
C_joint_cD_cLambda,0.1,0.1,0.1,0.1,0.1,0.3,dRID,A0,dRID:A0,-0.30000000000000004
C_joint_cD_cLambda,0.1,0.1,0.11,0.1,0.1,0.1,dRID,AD,dRID:AD,-0.50602
C_joint_cD_cLambda,0.1,0.1,0.11,0.1,0.1,0.11,dRID,AD,dRID:AD,-0.50602
