budget,feasible_defenses,equilibrium_pairs,defender_value
0.0,d0,d0:AR,-1.0
0.01,d0,d0:AR,-1.0
0.02,d0,d0:AR,-1.0
0.03,d0,d0:AR,-1.0
0.04,d0,d0:AR,-1.0
0.05,d0,d0:AR,-1.0
0.06,d0,d0:AR,-1.0
0.07,d0,d0:AR,-1.0
0.08,d0,d0:AR,-1.0
0.09,d0,d0:AR,-1.0
0.1,d0|dR|dI|dD,d0:AR,-1.0
0.11,d0|dR|dI|dD,d0:AR,-1.0
0.12,d0|dR|dI|dD,d0:AR,-1.0
0.13,d0|dR|dI|dD,d0:AR,-1.0
0.14,d0|dR|dI|dD,d0:AR,-1.0
0.15,d0|dR|dI|dD,d0:AR,-1.0
0.16,d0|dR|dI|dD,d0:AR,-1.0
0.17,d0|dR|dI|dD,d0:AR,-1.0
0.18,d0|dR|dI|dD,d0:AR,-1.0
0.19,d0|dR|dI|dD,d0:AR,-1.0
0.2,d0|dR|dI|dD|dRI|dRD|dID,dRI:AD,-0.6337693219838615
0.21,d0|dR|dI|dD|dRI|dRD|dID,dRI:AD,-0.6337693219838615
0.22,d0|dR|dI|dD|dRI|dRD|dID,dRI:AD,-0.6337693219838615
0.23,d0|dR|dI|dD|dRI|dRD|dID,dRI:AD,-0.6337693219838615
0.24,d0|dR|dI|dD|dRI|dRD|dID,dRI:AD,-0.6337693219838615
0.25,d0|dR|dI|dD|dRI|dRD|dID,dRI:AD,-0.6337693219838615
0.26,d0|dR|dI|dD|dRI|dRD|dID,dRI:AD,-0.6337693219838615
0.27,d0|dR|dI|dD|dRI|dRD|dID,dRI:AD,-0.6337693219838615
0.28,d0|dR|dI|dD|dRI|dRD|dID,dRI:AD,-0.6337693219838615
0.29,d0|dR|dI|dD|dRI|dRD|dID,dRI:AD,-0.6337693219838615
0.3,d0|dR|dI|dD|dRI|dRD|dID|dRID,dRID:AD,-0.4960236838543782
0.31,d0|dR|dI|dD|dRI|dRD|dID|dRID,dRID:AD,-0.4960236838543782
0.32,d0|dR|dI|dD|dRI|dRD|dID|dRID,dRID:AD,-0.4960236838543782
0.33,d0|dR|dI|dD|dRI|dRD|dID|dRID,dRID:AD,-0.4960236838543782
0.34,d0|dR|dI|dD|dRI|dRD|dID|dRID,dRID:AD,-0.4960236838543782
0.35,d0|dR|dI|dD|dRI|dRD|dID|dRID,dRID:AD,-0.4960236838543782
0.36,d0|dR|dI|dD|dRI|dRD|dID|dRID,dRID:AD,-0.4960236838543782
0.37,d0|dR|dI|dD|dRI|dRD|dID|dRID,dRID:AD,-0.4960236838543782
0.38,d0|dR|dI|dD|dRI|dRD|dID|dRID,dRID:AD,-0.4960236838543782
0.39,d0|dR|dI|dD|dRI|dRD|dID|dRID,dRID:AD,-0.4960236838543782
0.4,d0|dR|dI|dD|dRI|dRD|dID|dRID,dRID:AD,-0.4960236838543782
0.41,d0|dR|dI|dD|dRI|dRD|dID|dRID,dRID:AD,-0.4960236838543782
0.42,d0|dR|dI|dD|dRI|dRD|dID|dRID,dRID:AD,-0.4960236838543782
0.43,d0|dR|dI|dD|dRI|dRD|dID|dRID,dRID:AD,-0.4960236838543782
0.44,d0|dR|dI|dD|dRI|dRD|dID|dRID,dRID:AD,-0.4960236838543782
0.45,d0|dR|dI|dD|dRI|dRD|dID|dRID,dRID:AD,-0.4960236838543782
0.46,d0|dR|dI|dD|dRI|dRD|dID|dRID,dRID:AD,-0.4960236838543782
0.47,d0|dR|dI|dD|dRI|dRD|dID|dRID,dRID:AD,-0.4960236838543782
0.48,d0|dR|dI|dD|dRI|dRD|dID|dRID,dRID:AD,-0.4960236838543782
0.49,d0|dR|dI|dD|dRI|dRD|dID|dRID,dRID:AD,-0.4960236838543782
0.5,d0|dR|dI|dD|dRI|dRD|dID|dRID,dRID:AD,-0.4960236838543782
