wP,wF,wD,S_no_RL,S_RL,equilibrium_pairs,defender_value
0.0,0.0,1.0,0.9950079659515844,0.5880710515631344,dRID:AD,-0.8880710515631345
0.0,0.05,0.95,0.9548975676540051,0.5586674989849777,dRID:AD,-0.8586674989849777
0.0,0.1,0.9,0.9147871693564259,0.5292639464068211,dRID:AD,-0.8292639464068211
0.0,0.15,0.85,0.8746767710588467,0.49986039382866426,dRID:AD,-0.7998603938286644
0.0,0.2,0.8,0.8345663727612675,0.4704568412505076,dRID:AD,-0.7704568412505076
0.0,0.25,0.75,0.7944559744636883,0.44105328867235083,dRID:AD,-0.7410532886723509
0.0,0.3,0.7,0.754345576166109,0.4116497360941941,dRID:AD,-0.7116497360941941
0.0,0.35,0.65,0.7142351778685299,0.3822461835160374,dRID:AD,-0.6822461835160374
0.0,0.4,0.6,0.6741247795709505,0.35284263093788065,dRID:AD,-0.6528426309378808
0.0,0.45,0.55,0.6340143812733714,0.32343907835972396,dRID:AD,-0.623439078359724
0.0,0.5,0.5,0.5939039829757922,0.2940355257815672,dRID:AD,-0.5940355257815673
0.0,0.55,0.45,0.5537935846782129,0.26463197320341053,dRID:AD,-0.5646319732034106
0.0,0.6,0.4,0.5136831863806337,0.2352284206252538,dRID:AD,-0.5352284206252538
0.0,0.65,0.35,0.4735727880830545,0.20582486804709704,dRID:AD,-0.5058248680470971
0.0,0.7,0.3,0.43346238978547524,0.17642131546894033,dRID:AD,-0.4764213154689404
0.0,0.75,0.25,0.3933519914878961,0.1470177628907836,dRID:AD,-0.44701776289078365
0.0,0.8,0.2,0.3532415931903169,0.1176142103126269,dRID:AD,-0.4176142103126269
0.0,0.85,0.15,0.31313119489273766,0.08821065773447016,dRID:A0,-0.30000000000000004
0.0,0.9,0.1,0.27302079659515843,0.05880710515631345,dRID:A0,-0.30000000000000004
0.0,0.95,0.05,0.2329103982975792,0.029403552578156723,dRID:A0,-0.30000000000000004
0.0,1.0,0.0,0.1928,0.0,dRID:A0,-0.30000000000000004
0.05,0.0,0.95,0.9509325676540051,0.5586674989849777,dRID:AD,-0.8586674989849777
0.05,0.05,0.9,0.9108221693564259,0.5292639464068211,dRID:AD,-0.8292639464068211
0.05,0.1,0.85,0.8707117710588468,0.49986039382866426,dRID:AD,-0.7998603938286644
0.05,0.15,0.8,0.8306013727612676,0.4704568412505076,dRID:AD,-0.7704568412505076
0.05,0.2,0.75,0.7904909744636883,0.44105328867235083,dRID:AD,-0.7410532886723509
0.05,0.25,0.7,0.750380576166109,0.4116497360941941,dRID:AD,-0.7116497360941941
0.05,0.3,0.65,0.7102701778685299,0.3822461835160374,dRID:AD,-0.6822461835160374
