security_floor,feasible_defenses,equilibrium_pairs,defender_value
0.0,d0|dR|dI|dD|dRI|dRD|dID|dRID,dRID:AD,-0.4960236838543782
0.05,dRI|dRID,dRID:AD,-0.4960236838543782
0.1,dRI|dRID,dRID:AD,-0.4960236838543782
0.15,dRI|dRID,dRID:AD,-0.4960236838543782
0.2,dRI|dRID,dRID:AD,-0.4960236838543782
0.25,dRI|dRID,dRID:AD,-0.4960236838543782
0.3,dRI|dRID,dRID:AD,-0.4960236838543782
0.35,dRI|dRID,dRID:AD,-0.4960236838543782
0.4,dRI|dRID,dRID:AD,-0.4960236838543782
0.45,dRI|dRID,dRID:AD,-0.4960236838543782
0.5,dRI|dRID,dRID:AD,-0.4960236838543782
0.55,dRI|dRID,dRID:AD,-0.4960236838543782
0.6,dRID,dRID:AD,-0.4960236838543782
0.65,dRID,dRID:AD,-0.4960236838543782
0.7,dRID,dRID:AD,-0.4960236838543782
0.75,dRID,dRID:AD,-0.4960236838543782
0.8,dRID,dRID:AD,-0.4960236838543782
0.85,,INFEASIBLE,
0.9,,INFEASIBLE,
0.95,,INFEASIBLE,
1.0,,INFEASIBLE,
