defense,attack,n,aar_mean,aar_median,aar_sd,aar_ci95_low,aar_ci95_high,pdr_mean,pdr_median,pdr_sd,pdr_ci95_low,pdr_ci95_high,delay_mean_ms,delay_median_ms,delay_sd_ms,delay_ci95_low_ms,delay_ci95_high_ms,fb_mean,fb_median,fb_sd,fb_ci95_low,fb_ci95_high
d0,dos,10,1,1.0,0.0,1.0,1.0,0.8865,0.9424999999999999,0.13129800709327868,0.7925815892968796,0.9804184107031203,203.2414,133.387,209.22427465027414,53.581768519783765,352.90103148021626,0.192844,0.150092,0.10075574820988295,0.12077268718598862,0.26491531281401137
d0,injection,10,1,1.0,0.0,1.0,1.0,1,1.0,0.0,1.0,1.0,1.1665,1.1665100000000002,0.006413920624530513,1.1619120763538786,1.1710879236461216,0,0.0,0.0,0.0,0.0
d0,replay,10,1,1.0,0.0,1.0,1.0,1,1.0,0.0,1.0,1.0,1.1665,1.1665100000000002,0.006413920624530513,1.1619120763538786,1.1710879236461216,0,0.0,0.0,0.0,0.0
dD,dos,10,0.0558178,0.0558178,0.0,0.0558178,0.0558178,1,1.0,0.0,1.0,1.0,2.462704,2.4318049999999998,0.10919146091969734,2.384598561090754,2.540809438909246,0,0.0,0.0,0.0,0.0
dD,injection,10,1,1.0,0.0,1.0,1.0,1,1.0,0.0,1.0,1.0,1.1665,1.1665100000000002,0.006413920624530513,1.1619120763538786,1.1710879236461216,0,0.0,0.0,0.0,0.0
dD,replay,10,1,1.0,0.0,1.0,1.0,1,1.0,0.0,1.0,1.0,1.1665,1.1665100000000002,0.006413920624530513,1.1619120763538786,1.1710879236461216,0,0.0,0.0,0.0,0.0
dI,dos,10,1,1.0,0.0,1.0,1.0,0.8865,0.9424999999999999,0.13129800709327868,0.7925815892968796,0.9804184107031203,203.2414,133.387,209.22427465027414,53.581768519783765,352.90103148021626,0.192844,0.150092,0.10075574820988295,0.12077268718598862,0.26491531281401137
dI,injection,10,0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,1.0,1.100979,1.0997,0.007825727442225443,1.0953812007626706,1.1065767992373292,0,0.0,0.0,0.0,0.0
dI,replay,10,1,1.0,0.0,1.0,1.0,1,1.0,0.0,1.0,1.0,1.1665,1.1665100000000002,0.006413920624530513,1.1619120763538786,1.1710879236461216,0,0.0,0.0,0.0,0.0
dID,dos,10,0.0558178,0.0558178,0.0,0.0558178,0.0558178,1,1.0,0.0,1.0,1.0,2.462704,2.4318049999999998,0.10919146091969734,2.384598561090754,2.540809438909246,0,0.0,0.0,0.0,0.0
dID,injection,10,0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,1.0,1.100979,1.0997,0.007825727442225443,1.0953812007626706,1.1065767992373292,0,0.0,0.0,0.0,0.0
dID,replay,10,1,1.0,0.0,1.0,1.0,1,1.0,0.0,1.0,1.0,1.1665,1.1665100000000002,0.006413920624530513,1.1619120763538786,1.1710879236461216,0,0.0,0.0,0.0,0.0
dR,dos,10,1,1.0,0.0,1.0,1.0,0.8865,0.9424999999999999,0.13129800709327868,0.7925815892968796,0.9804184107031203,203.2414,133.387,209.22427465027414,53.581768519783765,352.90103148021626,0.192844,0.150092,0.10075574820988295,0.12077268718598862,0.26491531281401137
dR,injection,10,1,1.0,0.0,1.0,1.0,1,1.0,0.0,1.0,1.0,1.1665,1.1665100000000002,0.006413920624530513,1.1619120763538786,1.1710879236461216,0,0.0,0.0,0.0,0.0
dR,replay,10,0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,1.0,1.100979,1.0997,0.007825727442225443,1.0953812007626706,1.1065767992373292,0,0.0,0.0,0.0,0.0
dRD,dos,10,0.0558178,0.0558178,0.0,0.0558178,0.0558178,1,1.0,0.0,1.0,1.0,2.462704,2.4318049999999998,0.10919146091969734,2.384598561090754,2.540809438909246,0,0.0,0.0,0.0,0.0
dRD,injection,10,1,1.0,0.0,1.0,1.0,1,1.0,0.0,1.0,1.0,1.1665,1.1665100000000002,0.006413920624530513,1.1619120763538786,1.1710879236461216,0,0.0,0.0,0.0,0.0
dRD,replay,10,0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,1.0,1.100979,1.0997,0.007825727442225443,1.0953812007626706,1.1065767992373292,0,0.0,0.0,0.0,0.0
dRI,dos,10,1,1.0,0.0,1.0,1.0,0.8865,0.9424999999999999,0.13129800709327868,0.7925815892968796,0.9804184107031203,203.2414,133.387,209.22427465027414,53.581768519783765,352.90103148021626,0.192844,0.150092,0.10075574820988295,0.12077268718598862,0.26491531281401137
dRI,injection,10,0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,1.0,1.100979,1.0997,0.007825727442225443,1.0953812007626706,1.1065767992373292,0,0.0,0.0,0.0,0.0
dRI,replay,10,0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,1.0,1.100979,1.0997,0.007825727442225443,1.0953812007626706,1.1065767992373292,0,0.0,0.0,0.0,0.0
dRID,dos,10,0.0558178,0.0558178,0.0,0.0558178,0.0558178,1,1.0,0.0,1.0,1.0,2.462704,2.4318049999999998,0.10919146091969734,2.384598561090754,2.540809438909246,0,0.0,0.0,0.0,0.0
dRID,injection,10,0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,1.0,1.100979,1.0997,0.007825727442225443,1.0953812007626706,1.1065767992373292,0,0.0,0.0,0.0,0.0
dRID,replay,10,0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,1.0,1.100979,1.0997,0.007825727442225443,1.0953812007626706,1.1065767992373292,0,0.0,0.0,0.0,0.0
